PLAYER , TEAM , AGE , GP , G , FREQ , FGM , FGA , FG% , EFG% , 2FG FREQ , 2FGM , 2FGA , 2FG% , 3FG FREQ , 3PM , 3PA , 3P% , --------------------------------------------------------------
Oshae Brissett,BOS,25,6,5,100,0.5,2.8,17.6,20.6,47.1,0.3,1.3,24.8,52.9,0.2,1.5,11.3,--------------------------------------------------------------
Mike Muscala,WAS,32,6,5,100,1.0,2.7,37.5,43.8,50.0,0.7,1.3,50.4,50.0,0.3,1.3,24.8,--------------------------------------------------------------
AJ Griffin,ATL,20,6,6,100,1.2,2.5,46.7,66.7,13.3,0.2,0.3,51.5,86.7,1.0,2.2,46.1,--------------------------------------------------------------
Moussa Diabate,LAC,21,6,5,100,1.3,2.3,57.1,57.1,100,1.3,2.3,57.1,0.0,0.0,0.0,-,--------------------------------------------------------------
Kobe Brown,LAC,23,6,6,100,1.2,2.3,50.0,60.7,42.9,0.7,1.0,67.0,57.1,0.5,1.3,37.6,--------------------------------------------------------------
Jaden Springer,PHI,21,6,6,100,0.5,2.3,21.4,21.4,78.6,0.5,1.8,27.3,21.4,0.0,0.5,0.0,--------------------------------------------------------------
KJ Martin,PHI,22,6,3,100,0.7,1.8,36.4,40.9,54.5,0.5,1.0,50.0,45.5,0.2,0.8,20.5,--------------------------------------------------------------
Andre Jackson Jr.,MIL,22,6,4,100,0.8,1.5,55.6,61.1,44.4,0.7,0.7,100,55.6,0.2,0.8,20.5,--------------------------------------------------------------
Kessler Edwards,SAC,23,6,2,100,0.2,0.8,20.0,30.0,40.0,0.0,0.3,0.0,60.0,0.2,0.5,34.0,--------------------------------------------------------------
Damian Jones,CLE,28,6,2,100,0.5,0.5,100,100,100,0.5,0.5,100,0.0,0.0,0.0,-,--------------------------------------------------------------
Terry Rozier,CHA,29,5,5,100,8.4,18.0,46.7,51.1,65.6,6.8,11.8,57.6,34.4,1.6,6.2,25.8,--------------------------------------------------------------
Scoot Henderson,POR,19,5,5,100,3.6,10.4,34.6,36.5,59.6,3.2,6.2,51.6,40.4,0.4,4.2,9.5,--------------------------------------------------------------
James Harden,LAC,34,5,5,100,4.8,10.2,47.1,56.9,47.1,2.8,4.8,58.3,52.9,2.0,5.4,37.0,--------------------------------------------------------------
Santi Aldama,MEM,22,5,5,100,4.6,9.6,47.9,56.3,58.3,3.0,5.6,53.6,41.7,1.6,4.0,40.0,--------------------------------------------------------------
Wendell Carter Jr.,ORL,24,5,5,100,3.4,9.0,37.8,43.3,64.4,2.4,5.8,41.4,35.6,1.0,3.2,31.3,--------------------------------------------------------------
